relationA,relationshipType,relationB
T_electromagnetic_radiation,hasEduConcept,radiation
T_electromagnetic_radiation,hasEduConcept,electro
T_electromagnetic_radiation,hasEduConcept,magnetic
Grade_1,hasEduTopic,T_lighT_and_sound
T_light_and_sound,hasEduConcept,light
T_light_and_sound,hasEduConcept,sound
Grade_1,hasEduTopic,T_information_processing
Grade_1,hasEduTopic,T_information
Grade_1,hasEduTopic,T_processing
T_information,hasEduConcept,information
T_processing,hasEduConcept,processing
T_information_processing,hasEduConcept,information
T_information_processing,hasEduConcept,processing
T_information_processing,hasEduConcept,growth
T_information_processing,hasEduConcept,survival
Grade_1,hasEduTopic,T_translucence
T_translucence,hasEduConcept,translucence
Grade_1,hasEduTopic,T_life_cycles
Grade_1,hasEduTopic,T_life
Grade_1,hasEduTopic,T_cycles
T_life,hasEduConcept,life
T_cycles,hasEduConcept,cycles
T_life_cycles,hasEduConcept,animals
T_life_cycles,hasEduConcept,survival
Grade_1,hasEduTopic,T_universe
Grade_1,hasEduTopic,T_stars
T_universe,hasEduConcept,universe
T_universe,hasEduConcept,moon
T_universe,hasEduConcept,stars
T_universe,hasEduConcept,sun
T_universe,hasEduConcept,sky
Grade_1,hasEduTopic,T_solar_system
Grade_1,hasEduTopic,T_solar
Grade_1,hasEduTopic,T_system
T_solar,hasEduConcept,solar
T_system,hasEduConcept,system
T_solar_system,hasEduConcept,solar
T_solar_system,hasEduConcept,system
Grade_1,hasEduTopic,T_map
T_map,hasEduConcept,map
T_map,hasEduConcept,east
T_map,hasEduConcept,west
T_map,hasEduConcept,south
T_map,hasEduConcept,north
Grade_1,hasEduTopic,T_continents
Grade_1,hasEduTopic,T_country
T_country,hasEduConcept,country
Grade_1,hasEduTopic,T_state
T_state,hasEduConcept,state
Grade_1,hasEduTopic,T_community
T_community,hasEduConcept,community
Grade_1,hasEduTopic,T_trading
T_trading,hasEduConcept,trading
Grade_1,hasEduTopic,T_holidays
Grade_1,hasEduTopic,T_voting
Grade_1,hasEduTopic,T_consensus
T_consensus,hasEduConcept,consensus
T_holidays,hasEduConcept,holidays
T_voting,hasEduConcept,voting
Grade_2,hasEduTopic,T_operations
Grade_2,hasEduTopic,T_number
Grade_2,hasEduTopic,T_base_ten
T_base,hasEduConcept,base
T_ten,hasEduConcept,ten
Grade_2,hasEduTopic,T_measurement
Grade_2,hasEduTopic,T_geometry
Grade_2,hasEduTopic,T_matter
T_matter,hasEduConcept,solid
T_matter,hasEduConcept,liquid
T_matter,hasEduConcept,temperature
Grade_2,hasEduTopic,T_chemical_reactions
Grade_3,hasEduTopic,T_chemical
Grade_4,hasEduTopic,T_reactions
T_chemical,hasEduConcept,chemical
T_reactions,hasEduConcept,reactions
T_chemical_reactions,hasEduConcept,chemical
T_chemical_reactions,hasEduConcept,reactions
reactions,equivalentTo,reaction
T_chemical_reactions,hasEduConcept,heating
T_chemical_reactions,hasEduConcept,cooling
T_chemical_reactions,hasEduConcept,substance
Grade_2,hasEduTopic,T_ecosystems
T_ecosystems,hasEduConcept,ecosystem
ecosystems,equivalentTo,ecosystem
T_ecosystems,hasEduConcept,plants
T_ecosystems,hasEduConcept,water
T_ecosystems,hasEduConcept,light
T_ecosystems,hasEduConcept,grow
T_ecosystems,hasEduConcept,growth
Grade_2,hasEduTopic,T_biodiversity
T_biodiversity,hasEduConcept,biodiversity
Grade_2,hasEduTopic,T_humans
T_humans,hasEduConcept,living_things
T_biodiversity,hasEduConcept,living_things
Grade_2,hasEduTopic,T_maps
Grade_2,hasEduTopic,T_cities
Grade_2,hasEduTopic,T_income
Grade_2,hasEduTopic,T_environment
Grade_2,hasEduTopic,T_goods_and_services
T_goods_and_services,hasEduConcept,goods
T_goods_and_services,hasEduConcept,services
T_maps,hasEduConcept,maps
T_cities,hasEduConcept,cities
T_income,hasEduConcept,income
T_environment,hasEduConcept,environment
Grade_2,hasEduTopic,T_earth_history
T_earth_history,hasEduConcept,earth
T_earth_history,hasEduConcept,history
T_earth_history,hasEduConcept,planet
Grade_2,hasEduTopic,T_earth_materials_systems
T_earth_materials_systems,hasEduConcept,earth
T_earth_materials_systems,hasEduConcept,material
T_earth_materials_systems,hasEduConcept,systems
T_earth_materials_systems,hasEduConcept,wind
T_earth_materials_systems,hasEduConcept,water
Grade_2,hasEduTopic,T_plate_tectonics
T_plate_tectonics,hasEduConcept,plate
T_plate_tectonics,hasEduConcept,technonics
T_plate_tectonics,hasEduConcept,maps
T_plate_tectonics,hasEduConcept,land
T_plate_tectonics,hasEduConcept,water
Grade_2,hasEduTopic,T_earth_surface_processes
T_earth_surface_processes,hasEduConcept,earth
T_earth_surface_processes,hasEduConcept,surface
T_earth_surface_processes,hasEduConcept,processes
T_earth_surface_processes,hasEduConcept,ocean
T_earth_surface_processes,hasEduConcept,rivers
T_earth_surface_processes,hasEduConcept,lakes
T_earth_surface_processes,hasEduConcept,ponds
T_earth_surface_processes,hasEduConcept,solid
T_earth_surface_processes,hasEduConcept,liquid
T_earth_surface_processes,hasEduConcept,ice
Grade_2,hasEduTopic,T_research
Grade_2,hasEduTopic,T_writing
Grade_2,hasEduTopic,T_projects
Grade_3,hasEduTopic,T_operations
Grade_3,hasEduTopic,T_algebra
Grade_3,hasEduTopic,T_number
Grade_3,hasEduTopic,T_base_ten
Grade_3,hasEduTopic,T_fraction
Grade_3,hasEduTopic,T_measurement
T_measurement,hasEduConcept,measurement
Grade_3,hasEduTopic,T_geometry
T_geometry,hasEduConcept,geometry
Grade_3,hasEduTopic,T_forces_and_motion
T_forces_and_motion,hasEduConcept,forces
T_forces_and_motion,hasEduConcept,motion
T_forces_and_motion,hasEduConcept,speed
T_forces_and_motion,hasEduConcept,direction
T_forces_and_motion,hasEduConcept,magnitude
T_forces_and_motion,hasEduConcept,velocity
T_forces_and_motion,hasEduConcept,momentum
T_forces_and_motion,hasEduConcept,vector
T_forces_and_motion,hasEduConcept,magnets
Grade_3,hasEduTopic,T_ecosystems
Grade_3,hasEduTopic,T_resilience
T_resilience,hasEduConcept,resilience
T_ecosystems,hasEduConcept,temperature
T_ecosystems,hasEduConcept,organisms
T_ecosystems,hasEduConcept,reproduce
T_ecosystems,hasEduConcept,environment
T_resilience,hasEduConcept,functioning
T_resilience,hasEduConcept,temperature
T_resilience,hasEduConcept,organisms
T_resilience,hasEduConcept,reproduce
T_resilience,hasEduConcept,environment
Grade_3,hasEduTopic,T_social_interactions
T_social_interactions,hasEduConcept,social
T_social_interactions,hasEduConcept,interactions
Grade_3,hasEduTopic,T_group_behavior
T_group_behavior,hasEduConcept,behavior
T_group_behavior,hasEduConcept,animals
T_group_behavior,hasEduConcept,food
Grade_3,hasEduTopic,T_ancestry
Grade_3,hasEduTopic,T_diversity
T_diversity,hasEduConcept,plants
T_diversity,hasEduConcept,animals
T_diversity,hasEduConcept,earth
T_diversity,hasEduConcept,fossils
